"id","commune","Hamon","Macron","Asselineau","Fillon","Cheminade","Lassalle","Mélenchon","Le.Pen","Arthaud","Dupont.Aignan","Poutou","Inscrits","Abstentions","Votants","Blancs","Nuls","Exprimés"
"77104","Châtres",26,93,5,95,0,3,66,114,0,31,1,505,63,442,4,4,434
"77117","Citry",28,78,6,59,1,7,82,175,3,29,6,578,94,484,7,3,474
"77118","Claye-Souilly",282,1375,62,1483,13,56,1126,1594,27,401,51,8011,1403,6608,113,25,6470
"77119","Clos-Fontaine",7,20,1,18,1,0,42,71,0,17,1,221,34,187,9,0,178
"77120","Cocherel",15,38,3,60,0,3,54,146,1,17,4,420,74,346,4,1,341
"77121","Collégien",140,566,19,267,2,14,407,357,8,101,22,2336,390,1946,38,5,1903
"77122","Combs-la-Ville",685,2936,159,1661,21,65,2650,1864,70,960,104,14822,3400,11422,186,61,11175
"77123","Compans",12,49,5,45,0,3,129,154,4,14,3,543,111,432,8,6,418
"77124","Conches-sur-Gondoire",51,305,16,261,5,14,159,170,5,57,11,1226,152,1074,19,1,1054
"77125","Condé-Sainte-Libiaire",39,232,5,185,1,6,164,196,2,47,7,1051,148,903,14,5,884
"77126","Congis-sur-Thérouanne",47,169,8,152,1,8,169,314,4,55,7,1175,216,959,14,11,934
"77127","Coubert",47,157,9,130,2,6,141,271,2,88,12,1111,202,909,40,4,865
"77128","Couilly-Pont-aux-Dames",57,254,16,292,3,10,160,275,6,74,10,1402,219,1183,21,5,1157
"77129","Coulombs-en-Valois",16,55,7,73,0,0,58,139,2,29,3,464,74,390,8,0,382
"77130","Coulommes",6,48,5,62,1,0,32,87,1,30,0,321,45,276,3,1,272
"77131","Coulommiers",329,1358,68,1232,16,64,1360,1732,58,366,88,9581,2718,6863,126,66,6671
"77132","Coupvray",107,394,16,355,2,11,348,377,8,152,16,2161,334,1827,27,14,1786
"77133","Courcelles-en-Bassée",3,26,1,31,0,3,19,47,1,9,0,173,29,144,4,0,140
"77134","Courchamp",0,23,0,32,0,0,3,30,0,0,1,99,10,89,0,0,89
"77135","Courpalay",37,136,12,124,1,12,136,264,5,64,16,1014,195,819,11,1,807
"77136","Courquetaine",6,22,1,29,0,0,24,36,0,6,1,159,24,135,7,3,125
"77137","Courtacon",8,24,2,35,1,3,10,41,0,11,1,170,31,139,2,1,136
"77138","Courtomer",26,37,2,60,0,4,81,107,2,30,3,429,71,358,3,3,352
"77139","Courtry",156,847,58,634,3,18,679,842,21,211,31,4530,938,3592,64,28,3500
"77140","Coutençon",8,32,1,30,0,1,30,52,0,21,2,214,32,182,4,1,177
"77141","Coutevroult",17,133,9,113,1,4,109,134,4,48,4,662,77,585,8,1,576
"77145","Crisenoy",20,65,2,98,0,0,62,129,2,38,2,516,87,429,11,0,418
"77146","Croissy-Beaubourg",82,379,9,309,4,5,222,185,6,87,13,1559,219,1340,27,12,1301
"77148","Crouy-sur-Ourcq",40,192,7,182,2,7,180,292,5,43,17,1218,230,988,12,9,967
"77144","Crèvecoeur-en-Brie",9,48,2,53,0,2,36,60,1,25,3,272,30,242,2,1,239
