"","link","name","nb_jlm2017","tx_jlm2017","abstention","exprimés"
"1159","095/095170.html","Condécourt",34,10.53,45,323
"1160","095/095176.html","Cormeilles-en-Parisis",2278,18.21,3031,12509
"1161","095/095177.html","Cormeilles-en-Vexin",114,16.72,133,682
"1162","095/095181.html","Courcelles-sur-Viosne",32,17.11,30,187
"1163","095/095183.html","Courdimanche",750,21.53,749,3484
"1164","095/095197.html","Deuil-la-Barre",2540,22.98,3618,11055
"1165","095/095199.html","Domont",1497,19.29,2064,7759
"1166","095/095203.html","Eaubonne",2462,19.43,3256,12668
"1167","095/095205.html","Ecouen",966,25.66,1138,3765
"1168","095/095210.html","Enghien-les-Bains",878,13.76,1793,6381
"1169","095/095211.html","Ennery",203,15.44,223,1315
"1170","095/095213.html","Epiais-Rhus",53,11.45,84,463
"1171","095/095212.html","Epiais-lès-Louvres",9,16.36,16,55
"1172","095/095214.html","Epinay-Champlâtreux",3,6.82,5,44
"1173","095/095218.html","Eragny",2007,23.91,2576,8395
"1174","095/095219.html","Ermont",3245,22.96,4623,14132
"1175","095/095229.html","Ezanville",1107,22.67,1391,4884
"1176","095/095241.html","Fontenay-en-Parisis",217,21.99,153,987
"1177","095/095250.html","Fosses",1250,26.73,1515,4676
"1178","095/095252.html","Franconville",3648,22.53,5226,16189
"1179","095/095258.html","Frouville",45,16.54,46,272
"1180","095/095253.html","Frémainville",64,20.45,54,313
"1181","095/095254.html","Frémécourt",53,15.82,66,335
"1182","095/095256.html","Frépillon",342,18.8,465,1819
"1183","095/095259.html","Gadancourt",10,14.49,3,69
"1184","095/095268.html","Garges-lès-Gonesse",4532,39.91,5913,11355
"1185","095/095270.html","Genainville",68,18.63,73,365
"1186","095/095277.html","Gonesse",2844,29.5,4504,9640
"1187","095/095280.html","Goussainville",3508,32.98,4863,10637
"1188","095/095282.html","Gouzangrez",18,15.25,14,118
"1189","095/095287.html","Grisy-les-Plâtres",45,10.32,70,436
"1190","095/095288.html","Groslay",842,20.54,1087,4100
"1191","095/095295.html","Guiry-en-Vexin",16,13.01,13,123
"1192","095/095271.html","Génicourt",39,11.75,55,332
"1193","095/095298.html","Haravilliers",55,15.28,52,360
"1194","095/095301.html","Haute-Isle",28,15.64,31,179
"1195","095/095306.html","Herblay",3009,20.47,3985,14699
"1196","095/095309.html","Hodent",18,13.64,26,132
"1197","095/095304.html","Hédouville",20,9.76,32,205
"1198","095/095308.html","Hérouville",58,14.57,48,398
"1199","095/095316.html","Jagny-sous-Bois",29,17.37,17,167
"1200","095/095323.html","Jouy-le-Moutier",2261,27.06,2373,8357
"1201","095/095313.html","L'Isle-Adam",923,13.79,1110,6694
"1202","095/095139.html","La Chapelle-en-Vexin",34,17.17,33,198
"1203","095/095257.html","La Frette-sur-Seine",496,18.33,448,2706
"1204","095/095523.html","La Roche-Guyon",56,22.76,47,246
"1205","095/095328.html","Labbeville",41,11.75,51,349
"1206","095/095331.html","Lassy",15,15.31,20,98
"1207","095/095054.html","Le Bellay-en-Vexin",22,16.06,17,137
"1208","095/095303.html","Le Heaulme",13,10.16,24,128
"1209","095/095395.html","Le Mesnil-Aubry",97,17.67,123,549
"1210","095/095483.html","Le Perchay",57,17.33,57,329
"1211","095/095491.html","Le Plessis-Bouchard",725,15.86,1011,4572
"1212","095/095492.html","Le Plessis-Gassot",3,8.11,4,37
"1213","095/095493.html","Le Plessis-Luzarches",15,16.85,21,89
"1214","095/095612.html","Le Thillay",387,21.21,522,1825
"1215","095/095341.html","Livilliers",20,8.7,44,230
"1216","095/095348.html","Longuesse",68,18.99,58,358
"1217","095/095351.html","Louvres",1151,25.49,1876,4516
"1218","095/095352.html","Luzarches",489,18.76,635,2606
"1219","095/095353.html","Maffliers",207,20.7,173,1000
"1220","095/095355.html","Magny-en-Vexin",557,18.43,709,3022
"1221","095/095365.html","Mareil-en-France",50,13.37,86,374
"1222","095/095369.html","Margency",233,13.05,268,1786
"1223","095/095370.html","Marines",324,17.31,386,1872
"1224","095/095371.html","Marly-la-Ville",755,23.37,917,3230
"1225","095/095379.html","Maudétour-en-Vexin",18,12.16,15,148
"1226","095/095387.html","Menouville",6,15.38,10,39
"1227","095/095388.html","Menucourt",792,25.12,772,3153
"1228","095/095409.html","Moisselles",112,15.69,124,714
"1229","095/095422.html","Montgeroult",62,22.55,39,275
"1230","095/095424.html","Montigny-lès-Cormeilles",2471,30.36,2943,8138
"1231","095/095426.html","Montlignon",269,15.17,317,1773
"1232","095/095427.html","Montmagny",1668,30.3,2072,5505
"1233","095/095428.html","Montmorency",1946,17.95,2464,10840
"1234","095/095429.html","Montreuil-sur-Epte",55,18.09,45,304
"1235","095/095430.html","Montsoult",425,20.33,465,2091
"1236","095/095436.html","Mours",161,18.3,173,880
"1237","095/095438.html","Moussy",11,17.74,15,62
"1238","095/095392.html","Mériel",517,18.54,679,2789
"1239","095/095394.html","Méry-sur-Oise",1039,20.79,1189,4997
"1240","095/095445.html","Nerville-la-Forêt",62,16.27,64,381
"1241","095/095446.html","Nesles-la-Vallée",180,14.42,274,1248
"1242","095/095447.html","Neuilly-en-Vexin",16,13.45,18,119
"1243","095/095450.html","Neuville-sur-Oise",164,15.23,173,1077
"1244","095/095452.html","Nointel",108,21.43,90,504
"1245","095/095456.html","Noisy-sur-Oise",58,14.87,76,390
"1246","095/095459.html","Nucourt",68,14.38,64,473
"1247","095/095462.html","Omerville",30,13.64,25,220
"1248","095/095476.html","Osny",1690,20.68,2281,8173
"1249","095/095480.html","Parmain",600,17.99,918,3336
"1250","095/095487.html","Persan",1362,32.09,1253,4244
"1251","095/095488.html","Pierrelaye",1004,27.19,1187,3693
"1252","095/095489.html","Piscop",57,13.83,79,412
"1253","095/095500.html","Pontoise",3178,25.28,4152,12571
"1254","095/095504.html","Presles",466,19.71,411,2364
"1255","095/095510.html","Puiseux-Pontoise",39,12.34,41,316
"1256","095/095509.html","Puiseux-en-France",396,21.48,575,1844
"1257","095/095527.html","Roissy-en-France",281,21.7,406,1295
"1258","095/095529.html","Ronquerolles",80,15.47,95,517
"1259","095/095535.html","Sagy",125,16.78,164,745
"1260","095/095539.html","Saint-Brice-sous-Forêt",1345,19.93,1947,6748
"1261","095/095541.html","Saint-Clair-sur-Epte",99,20.75,122,477
"1262","095/095543.html","Saint-Cyr-en-Arthies",26,17.93,25,145
"1263","095/095554.html","Saint-Gervais",93,14.33,95,649
"1264","095/095555.html","Saint-Gratien",2202,22.2,3253,9917
"1265","095/095563.html","Saint-Leu-la-Forêt",1680,18.94,1954,8869
"1266","095/095566.html","Saint-Martin-du-Tertre",298,22.34,407,1334
"1267","095/095572.html","Saint-Ouen-l'Aumône",2559,27.31,2997,9370
"1268","095/095574.html","Saint-Prix",676,15.06,1203,4488
"1269","095/095580.html","Saint-Witz",161,10.01,283,1608
"1270","095/095582.html","Sannois",2902,23.27,3677,12472
"1271","095/095584.html","Santeuil",65,15.63,52,416
"1272","095/095585.html","Sarcelles",5635,29.92,8777,18833
"1273","095/095592.html","Seraincourt",126,16.03,168,786
"1274","095/095594.html","Seugy",113,17.38,119,650
"1275","095/095598.html","Soisy-sous-Montmorency",1728,19.14,2832,9030
"1276","095/095604.html","Survilliers",418,21.3,499,1962
"1277","095/095607.html","Taverny",3110,22.7,3651,13700
"1278","095/095611.html","Theuville",3,17.65,7,17
"1279","095/095610.html","Théméricourt",33,16.67,35,198
"1280","095/095625.html","Us",125,15.06,117,830
"1281","095/095627.html","Vallangoujard",42,10.5,69,400
"1282","095/095628.html","Valmondois",156,18.96,141,823
"1283","095/095633.html","Vaudherland",5,10.64,13,47
"1284","095/095637.html","Vauréal",2273,26.54,2960,8563
"1285","095/095652.html","Viarmes",504,16.41,760,3072
"1286","095/095656.html","Vienne-en-Arthies",44,14.92,27,295
"1287","095/095658.html","Vigny",116,14.74,122,787
"1288","095/095660.html","Villaines-sous-Bois",58,12.53,56,463
"1289","095/095675.html","Villeron",77,16.67,80,462
"1290","095/095676.html","Villers-en-Arthies",64,19.16,43,334
"1291","095/095678.html","Villiers-Adam",85,15.89,48,535
"1292","095/095680.html","Villiers-le-Bel",2932,34.26,4392,8558
"1293","095/095682.html","Villiers-le-Sec",21,19.81,10,106
"1294","095/095641.html","Vémars",256,20.29,510,1262
"1295","095/095651.html","Vétheuil",105,20.31,76,517
"1296","095/095690.html","Wy-dit-Joli-Village",45,17.24,46,261

